cluster,tag_000_bd_r,tag_001_woman_director,tag_002_murder,tag_003_independent_film,tag_004_comedy,tag_005_nudity_topless,tag_006_based_on_a_book,tag_007_clv,tag_008_drama,tag_009_romance,tag_010_funny,tag_011_violence,tag_012_based_on_novel_or_book,tag_013_revenge,tag_014_musical,tag_015_criterion,tag_016_betamax,tag_017_love,tag_018_family,tag_019_action
0,0.146,0.001,0.023,0.069,0.067,0.074,0.067,0.102,0.045,0.065,0.081,0.006,0.022,0.005,0.036,0.053,0.068,0.054,0.025,-0.001
1,0.082,-0.041,-0.012,-0.009,-0.016,-0.01,0.006,-0.007,0.0,-0.006,-0.012,0.011,0.01,0.008,-0.006,0.009,0.008,-0.017,-0.015,0.007
2,0.026,-0.033,0.098,0.002,-0.011,0.007,-0.019,-0.009,0.0,-0.014,-0.015,0.031,-0.006,0.049,-0.018,0.007,-0.006,-0.013,-0.011,0.01
3,-0.025,-0.041,0.042,-0.005,-0.014,-0.005,0.014,-0.016,-0.003,-0.019,-0.016,0.026,0.009,0.013,-0.017,-0.011,-0.006,-0.016,-0.001,0.034
4,-0.045,0.017,-0.033,-0.014,-0.012,-0.018,-0.021,-0.022,-0.009,-0.008,-0.019,-0.015,-0.006,-0.012,-0.003,-0.015,-0.017,-0.003,-0.004,-0.014
5,-0.034,0.069,-0.03,-0.018,-0.022,-0.024,-0.021,-0.021,-0.019,-0.021,-0.015,-0.015,-0.018,-0.018,-0.013,-0.01,-0.016,-0.017,-0.008,-0.016
6,-0.043,-0.03,-0.034,-0.027,0.01,-0.023,-0.005,-0.019,-0.021,-0.007,0.017,-0.01,-0.01,-0.018,0.028,-0.007,-0.01,-0.011,0.01,0.003
