component,explained_variance_ratio,cumulative_variance
1,0.005777011461609427,0.005777011461609427
2,0.009866603220427933,0.01564361468203736
3,0.008128387297425812,0.02377200197946317
4,0.007772131144211164,0.03154413312367434
5,0.007150945723839514,0.03869507884751385
6,0.007000488538409778,0.04569556738592363
7,0.006262082110951675,0.051957649496875306
8,0.0056297143238407815,0.05758736382071609
9,0.006190410549136,0.06377777436985209
10,0.0059837878568012445,0.06976156222665333
11,0.00580772206149771,0.07556928428815105
12,0.005627075833658966,0.08119636012181002
13,0.005124400831526719,0.08632076095333674
14,0.004743598288432541,0.09106435924176928
15,0.004284347355323508,0.0953487065970928
16,0.004239022103582634,0.09958772870067543
17,0.004125818650309807,0.10371354735098524
18,0.0038495388383190487,0.1075630861893043
19,0.003605956329253719,0.11116904251855801
20,0.003539359850273008,0.11470840236883102
21,0.003448460030405092,0.11815686239923612
22,0.003355578981836855,0.12151244138107298
23,0.003261422088977228,0.1247738634700502
24,0.0031129878580868423,0.12788685132813704
25,0.0030885833483138077,0.13097543467645084
26,0.003039065126615394,0.13401449980306623
27,0.002968605445982581,0.1369831052490488
28,0.0027234028362656823,0.13970650808531448
29,0.002695936580648233,0.14240244466596272
30,0.0025414889056770322,0.14494393357163976
31,0.0024751162339864737,0.14741904980562623
32,0.0024054898718275414,0.14982453967745377
33,0.0023439500006759576,0.15216848967812974
34,0.0022797599414848776,0.15444824961961462
35,0.002286706790368153,0.15673495640998278
36,0.0022445274449193735,0.15897948385490215
37,0.0021954021770055994,0.16117488603190774
38,0.002203130846960201,0.16337801687886794
39,0.0020769763698984646,0.1654549932487664
40,0.0020564315561880375,0.16751142480495443
41,0.0020128005862197033,0.16952422539117412
42,0.001983266822269397,0.17150749221344352
43,0.001956114093191332,0.17346360630663485
44,0.0019538972358430495,0.1754175035424779
45,0.0019407659434058535,0.17735826948588376
46,0.0019294057819336297,0.1792876752678174
47,0.0019092735011247452,0.18119694876894213
48,0.0018911266932386888,0.1830880754621808
49,0.0018795761737194386,0.18496765163590026
50,0.0018610717435006536,0.1868287233794009
51,0.0018360181203895462,0.18866474149979046
52,0.0018254033194288258,0.19049014481921928
53,0.0017862877569523729,0.19227643257617164
54,0.0017744405533317974,0.19405087312950342
55,0.0017537612727562618,0.19580463440225968
56,0.0017406573391069442,0.19754529174136662
57,0.001726925642639274,0.19927221738400588
58,0.0017227046801435953,0.20099492206414948
59,0.001714105489439009,0.2027090275535885
60,0.0017120371445822572,0.20442106469817076
61,0.0016937397225184662,0.20611480442068922
62,0.001691793298702928,0.20780659771939214
63,0.0016825217065968747,0.20948911942598902
64,0.001667520258863745,0.21115663968485276
65,0.0016571964819076877,0.21281383616676045
66,0.0016528511625807053,0.21446668732934115
67,0.0016436238032222954,0.21611031113256346
68,0.0016398045430021603,0.21775011567556563
69,0.0016326936306415472,0.21938280930620718
70,0.001628552351578167,0.22101136165778534
71,0.0016106515818774321,0.22262201323966277
72,0.0016006272937683689,0.22422264053343113
73,0.0015972980448877214,0.22581993857831886
74,0.0015717727844312857,0.22739171136275016
75,0.0015567859969403035,0.22894849735969047
76,0.0015452234282616894,0.23049372078795216
77,0.0015411084119780682,0.23203482919993024
78,0.0015327821968369442,0.23356761139676718
79,0.001520160642117574,0.23508777203888476
80,0.001506274143224683,0.23659404618210944
81,0.0015094092235024947,0.23810345540561192
82,0.0014986700139616707,0.2396021254195736
83,0.0014792890684978133,0.2410814144880714
84,0.001475052934654125,0.24255646742272555
85,0.0014569280405456993,0.24401339546327125
86,0.001434409216242931,0.2454478046795142
87,0.00141360686036444,0.24686141153987862
88,0.0014072466742651648,0.2482686582141438
89,0.0013884572501706995,0.2496571154643145
90,0.001381308853669714,0.2510384243179842
91,0.0013670083664449042,0.25240543268442905
92,0.0013566539775687215,0.2537620866619978
93,0.001336950106124297,0.25509903676812207
94,0.0013102020893563666,0.25640923885747846
95,0.0013034905575675915,0.257712729415046
96,0.0012933668255772786,0.2590060962406233
97,0.0012792905242563523,0.26028538676487967
98,0.0012694401051553319,0.261554826870035
99,0.0012478077085776437,0.26280263457861264
100,0.0012333496174807127,0.26403598419609337
101,0.0012298702890158725,0.26526585448510925
102,0.00122301753776061,0.26648887202286986
103,0.0012098129383539815,0.26769868496122384
104,0.0012035857565815546,0.2689022707178054
105,0.0011986917789957312,0.27010096249680116
106,0.0011681717381649855,0.2712691342349661
107,0.0011621743076191523,0.2724313085425853
108,0.0011547942298131939,0.2735861027723985
109,0.001148395941230389,0.27473449871362887
110,0.0011424969295619897,0.27587699564319085
111,0.001136455071285331,0.2770134507144762
112,0.0011249910633684488,0.27813844177784464
113,0.0011187513186903403,0.27925719309653496
114,0.0011169176800906251,0.2803741107766256
115,0.0011098776041469777,0.2814839883807726
116,0.0011017174762737115,0.2825857058570463
117,0.0010968860868106063,0.2836825919438569
118,0.0010906722450407002,0.28477326418889765
119,0.001088899236214606,0.2858621634251122
120,0.0010822320719845494,0.28694439549709677
121,0.00107267443569264,0.2880170699327894
122,0.0010662248114105008,0.2890832947441999
123,0.0010553106054293603,0.29013860534962926
124,0.0010507430323342785,0.29118934838196353
125,0.001042706854625063,0.2922320552365886
126,0.0010366837269479828,0.29326873896353656
127,0.0010302093848817263,0.2942989483484183
128,0.0010278337710039076,0.2953267821194222
129,0.0010266234962230188,0.2963534056156452
130,0.0010138855564916826,0.2973672911721369
131,0.001007885888635257,0.29837517706077216
132,0.0010058424717535753,0.2993810195325257
133,0.0009994354628428544,0.3003804549953686
134,0.0009911498687294438,0.30137160486409803
135,0.0009881025546840166,0.30235970741878204
136,0.0009863438559812897,0.30334605127476333
137,0.0009829086126537092,0.30432895988741704
138,0.000978651311554731,0.30530761119897176
139,0.0009761235450910799,0.30628373474406284
140,0.0009694072941692455,0.30725314203823206
141,0.0009633425052956011,0.3082164845435277
142,0.0009622961655274741,0.30917878070905513
143,0.0009582486472220887,0.31013702935627724
144,0.0009505754079007285,0.31108760476417796
145,0.0009363803255543251,0.3120239850897323
146,0.0009351461643153508,0.3129591312540476
147,0.0009329212862639714,0.3138920525403116
148,0.0009325984978634437,0.31482465103817503
149,0.0009239882998179022,0.3157486393379929
150,0.0009201991312022492,0.31666883846919514
151,0.0009201291906699415,0.31758896765986505
152,0.0009105671323688455,0.3184995347922339
153,0.0009005876319361351,0.31940012242417004
154,0.0008973798759155426,0.3202975023000856
155,0.000893852885557527,0.3211913551856431
156,0.000885965425802768,0.3220773206114459
157,0.000882917476130788,0.3229602380875767
158,0.0008827326201675499,0.3238429707077442
159,0.0008775243734782024,0.3247204950812224
160,0.0008728231727149436,0.32559331825393734
161,0.0008722564597566581,0.326465574713694
162,0.0008662088305470738,0.32733178354424103
163,0.0008614893084748804,0.32819327285271593
164,0.000858113150066985,0.32905138600278294
165,0.0008545856347477803,0.3299059716375307
166,0.000845476195851781,0.3307514478333825
167,0.0008449185271148129,0.33159636636049733
168,0.0008423707348680259,0.33243873709536537
169,0.0008380974432698213,0.3332768345386352
170,0.0008331380713428035,0.334109972609978
171,0.0008298622834108235,0.3349398348933888
172,0.000824604484606364,0.33576443937799516
173,0.0008206739290514103,0.33658511330704655
174,0.0008149017947356714,0.3374000151017822
175,0.0008099940066920412,0.3382100091084742
176,0.000804417896487335,0.33901442700496154
177,0.0008008977403838342,0.33981532474534537
178,0.0007959733512481974,0.3406112980965936
179,0.0007946339081185874,0.34140593200471214
180,0.000794035374283702,0.34219996737899583
181,0.000787041039979828,0.34298700841897567
182,0.0007820602435770594,0.34376906866255275
183,0.0007786325019689982,0.34454770116452177
184,0.0007738589467425187,0.3453215601112643
185,0.0007694617610717765,0.3460910218723361
186,0.0007674509130827054,0.3468584727854188
187,0.0007634932280901222,0.3476219660135089
188,0.0007569973899445702,0.3483789634034535
189,0.0007567516452808925,0.34913571504873436
190,0.0007524337847080009,0.3498881488334424
191,0.0007474936269250437,0.35063564246036744
192,0.0007451168396014623,0.3513807592999689
193,0.0007424384683199504,0.3521231977682889
194,0.0007370541823636432,0.3528602519506525
195,0.0007333378083596604,0.3535935897590122
196,0.0007298282875506368,0.3543234180465628
197,0.0007226309861386918,0.3550460490327015
198,0.0007185411632146376,0.3557645901959161
199,0.0007132651944826708,0.3564778553903988
200,0.0007126979795937984,0.35719055336999256
