n_components,explained_variance,elapsed_seconds
10,0.09326475113630295,1.35
20,0.12271866202354431,2.11
30,0.14421816170215607,2.07
50,0.1779065877199173,2.83
75,0.2110544890165329,3.57
100,0.2389385849237442,4.6
150,0.28580865263938904,5.37
