system,k,hit_rate_at_k,precision_at_k,ndcg_at_k,n_queries
popularity_global,5,0.0287,0.0057,0.018,10000
popularity_global,10,0.0465,0.0047,0.0238,10000
popularity_global,20,0.0767,0.0038,0.0313,10000
content_cosine,5,0.0219,0.0044,0.0139,9885
content_cosine,10,0.0368,0.0037,0.0187,9885
content_cosine,20,0.0563,0.0028,0.0236,9885
svd_collaborative,5,0.0515,0.0103,0.0343,9885
svd_collaborative,10,0.0795,0.008,0.0432,9885
svd_collaborative,20,0.1221,0.0061,0.0538,9885
